n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo,doublet_score
2092,4176.0,0.7662835,0.40708813,0.0049057578104828295
3944,11905.0,0.008399832,0.12599748,0.1802325581395348
4958,19317.0,0.015530361,0.15530361,0.044799858619775555
3336,8132.0,0.024594195,0.31972456,0.0673965104344851
2857,7547.0,0.039750893,0.22525507,0.020358700920988848
3033,9395.0,0.0,0.24481106,0.06844895137128369
2013,3535.0,0.113154165,0.2545969,0.015062213490504257
3259,8857.0,0.09032404,0.30484363,0.03955174686882005
3181,10471.0,0.009550186,0.14325279,0.008299338866225912
2084,4478.0,0.111656986,0.111656986,0.02849162011173184
2730,6258.0,0.19175455,0.33557048,0.00956984050265829
1506,2807.0,0.071250446,0.14250089,0.04122060187136475
2030,4116.0,0.0728863,0.34013605,0.009383571531687599
4352,16517.0,0.23612036,0.14530483,0.03449333128928407
3475,10198.0,0.0,0.21572858,0.007777777777777777
4629,18031.0,0.005546004,0.14974211,0.05711361310133062
2173,4377.0,0.0,0.22846697,0.06151368760064413
2781,6736.0,0.059382424,0.3117577,0.004611443210930829
1712,3240.0,0.0617284,0.2777778,0.007269236044438349
2178,4226.0,0.047326077,0.3076195,0.05234587049243893
3104,7320.0,0.0,0.17759563,0.09536307961504811
3378,10404.0,0.0,0.17301038,0.012360939431396788
3399,10387.0,0.038509674,0.21180321,0.043569006000521784
4022,15985.0,0.03753519,0.20018767,0.0037553200367186844
3782,11196.0,0.0,0.19649875,0.0515998846929951
2452,5627.0,0.07108584,0.12440021,0.01920796774958501
1155,1828.0,0.0,0.54704595,0.00505465071067525
3786,11544.0,0.12993762,0.20790021,0.020953314544786182
5260,16465.0,0.0060734893,0.20649864,0.01458986274721712
5035,21560.0,0.0,0.19480519,0.02125562195798164
4976,18836.0,0.042471863,0.11679762,0.01783755700513768
2428,5883.0,0.40795514,0.37395886,0.01783755700513768
3112,7097.0,0.028180921,0.366352,0.022183230981325984
3519,9899.0,0.10102031,0.27275482,0.016035634743875277
2706,7137.0,0.028022978,0.1401149,0.01679199411997512
2370,5936.0,0.0,0.33692724,0.0036164110238184315
1882,3616.0,0.027654868,0.24889381,0.12464183381088827
1590,2846.0,0.035137035,0.3865074,0.026968128575320074
1288,2133.0,0.5625879,0.09376465,0.08889504292439766
2488,5734.0,0.034879666,0.22671781,0.08889504292439766
2386,5520.0,0.018115943,0.2173913,0.01865102639296188
2010,4249.0,0.35302424,0.25888443,0.1482701812191103
1626,2918.0,0.0685401,0.5483208,0.026598984771573603
3335,8804.0,0.03407542,0.20445253,0.06535582616467434
4006,14140.0,0.021216407,0.20509195,0.027720314439387668
2790,6229.0,0.09632365,0.20870124,0.03009458297506449
3813,10820.0,0.30499074,0.19408503,0.04122060187136475
4621,15881.0,0.018890498,0.22668599,0.17122969837587
3505,8550.0,0.046783626,0.33918127,0.1221145374449339
4429,12899.0,0.038762696,0.19381347,0.016035634743875277
2449,7502.0,0.013329779,0.119968005,0.009757755230836449
4788,14798.0,0.17569941,0.22976077,0.050146378317121536
1183,1667.0,0.059988,0.719856,0.011939993876926219
4341,13779.0,0.0072574206,0.21046521,0.01679199411997512
2123,4326.0,0.0,0.1618123,0.12464183381088827
3696,10847.0,0.018438278,0.17516364,0.11276701440635871
3408,9556.0,0.0,0.14650482,0.034967194133539166
2922,7257.0,0.88190717,0.24803637,0.04805744798379671
3238,8515.0,0.023487963,0.12918378,0.016537293283833954
3201,7730.0,0.103492886,0.19404916,0.03955174686882005
4417,12889.0,0.031034214,0.21723951,0.028103532024148215
2417,4814.0,0.020772746,0.3115912,0.074060561838745
1555,2761.0,0.10865629,0.3984064,0.010722795869737888
4887,16472.0,0.10320544,0.19426906,0.14493632504548207
2959,7553.0,0.0,0.2383159,0.027341876242033852
3248,7806.0,0.0,0.28183448,0.07773584905660377
3650,9641.0,0.08297894,0.24893685,0.025166787766695294
2519,4991.0,0.3406131,0.3406131,0.04417952314165498
3972,12370.0,0.008084075,0.19401778,0.014824871029052406
3833,12441.0,0.032151755,0.1446829,0.017572068450671875
1795,3099.0,0.064536944,0.29041627,0.10068337129840545
4429,14975.0,0.06677797,0.17362271,0.1553273427471116
4184,14377.0,0.0139111085,0.21562217,0.007950160397972942
5017,20577.0,0.024298973,0.16037324,0.02481943532501642
1845,3492.0,0.0,0.25773194,0.020066285025610125
2676,7563.0,0.026444532,0.21155626,0.0390120225729942
2894,6904.0,0.04345307,0.13035922,0.026598984771573603
5139,22885.0,0.026218046,0.10924186,0.01920796774958501
5517,21403.0,0.032705694,0.19156194,0.09536307961504811
2905,7536.0,0.079617836,0.2786624,0.025874172628200846
2497,5828.0,0.08579273,0.2745367,0.04607094746295465
3235,8727.0,0.011458692,0.2750086,0.03009458297506449
2663,6107.0,0.0,0.16374652,0.027341876242033852
2302,5117.0,0.15634161,0.195427,0.02888467214842927
3899,12216.0,0.0081859855,0.23739359,0.09045014724442571
2999,8387.0,0.011923214,0.20269465,0.0417940876656473
3325,9853.0,0.101491936,0.20298387,0.021870521527821048
2343,5432.0,0.0,0.16568483,0.0673965104344851
5941,24169.0,0.9516323,0.23997682,0.13862351335542988
3284,7809.0,0.03841721,0.26892048,0.10255620572836464
2324,4574.0,0.021862702,0.21862702,0.027341876242033852
1973,4441.0,0.0,0.2702094,0.013672496025437202
2596,6188.0,0.0,0.1454428,0.04672220210068814
2544,6019.0,0.48180762,0.23259677,0.013448657771214598
1454,2390.0,0.08368201,0.50209206,0.01920796774958501
4492,16529.0,0.0,0.20569907,0.014357154379738668
3504,9702.0,0.010307153,0.1546073,0.05387803433984607
2615,6468.0,0.0154607305,0.27829313,0.008654528257271222
1667,3027.0,0.06607202,0.19821607,0.04296807592752373
2943,6776.0,0.29515937,0.2804014,0.20085015940488848
2815,8132.0,0.0,0.14756517,0.0390120225729942
2294,5582.0,0.017914725,0.053744175,0.023470565602154672
4229,14105.0,0.021269053,0.17015243,0.006289308176100629
3175,8722.0,0.06879156,0.1719789,0.03955174686882005
2201,4511.0,0.0,0.1995123,0.025166787766695294
2378,5593.0,0.017879492,0.2503129,0.06636568848758465
2623,6343.0,0.06306165,0.22071575,0.15173137460650574
4501,13828.0,0.028926816,0.24587794,0.11499663752521858
4439,15759.0,0.012691161,0.16498509,0.036429585238921314
2368,5553.0,0.054024853,0.054024853,0.05234587049243893
4321,17352.0,0.011526049,0.1152605,0.048741992386965
4512,13740.0,0.021834062,0.1746725,0.034967194133539166
3667,10107.0,0.029682398,0.29682398,0.05628232430787952
3282,9999.0,0.020002,0.18001801,0.010138609981877846
