n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo
2989,7519.0,0.0,0.2925921
2566,7482.0,0.05346164,0.18711574
3888,11806.0,0.01694054,0.18634592
4855,16539.0,0.0060463147,0.2478989
1904,3324.0,0.0,0.42117932
3582,12415.0,0.040273864,0.16915022
1901,3684.0,0.0,0.29858848
3301,8126.0,0.40610385,0.344573
4648,14484.0,0.22093344,0.1657001
5686,24432.0,0.08595285,0.18827768
3531,9428.0,0.021213407,0.20152736
3090,8811.0,0.01134945,0.1361934
3609,10028.0,0.0,0.14958118
4359,14108.0,0.106322646,0.2480862
1881,3252.0,0.09225092,0.67650676
2794,8482.0,0.011789672,0.2122141
3697,12666.0,0.015790304,0.20527397
3267,8088.0,0.0,0.17309594
4239,16896.0,0.0,0.21898675
3793,13164.0,0.007596475,0.15952598
4008,13960.0,0.021489972,0.20773639
1596,2831.0,0.3885553,0.28258568
5327,25864.0,0.003866378,0.088926695
3723,13983.0,0.007151541,0.18594007
3994,11286.0,0.03544214,0.2303739
4538,15063.0,0.059749052,0.23235744
6156,26170.0,0.015284677,0.23691249
4269,13517.0,0.029592365,0.13316564
2545,5450.0,1.9816514,0.33027524
5762,27950.0,0.007155635,0.13953488
2944,7146.0,0.0979569,0.265883
5608,27639.0,0.0072361515,0.1519592
2719,7708.0,0.012973535,0.15568241
1929,3511.0,0.59812015,0.31330106
2792,7191.0,0.027812542,0.12515645
3524,9770.0,0.051177073,0.15353121
1937,3786.0,0.1056524,0.2905441
2562,4974.0,0.020104544,0.28146362
2875,8046.0,0.037285607,0.1739995
2517,5285.0,0.09460738,0.26490065
1778,3873.0,0.025819778,0.18073845
4730,18064.0,0.088573955,0.17161205
5032,19958.0,0.0,0.16534723
2902,7122.0,0.014041,0.196574
5679,29810.0,0.010063737,0.15431064
2271,4724.0,0.0211685,0.254022
2312,5633.0,0.01775253,0.21303035
3471,12356.0,0.016186468,0.17805114
4509,15616.0,0.012807377,0.28176227
2912,6852.0,2.305896,0.3356684
2476,5507.0,0.036317416,0.27238062
2922,7233.0,0.027651044,0.2626849
4299,14145.0,0.0,0.18381053
2609,6885.0,0.3921569,0.30501089
2900,7813.0,0.012799181,0.16638935
2136,4344.0,0.023020258,0.29926336
2178,4789.0,0.10440593,0.39674252
5257,21934.0,0.0,0.18692441
4908,20937.0,0.023881167,0.17672063
2818,7353.0,0.0,0.21759826
5125,23441.0,0.042660296,0.17490721
7398,52701.0,0.02087247,0.14610729
2468,5473.0,0.0,0.2375297
3020,7408.0,0.0,0.17548595
2595,6129.0,0.0,0.35894924
4062,12519.0,0.015975717,0.2875629
4436,13490.0,0.044477392,0.18532246
3825,10196.0,4.2859945,0.4021185
2027,4126.0,0.024236549,0.4604944
5398,19613.0,0.010197318,0.20904501
3440,10994.0,0.01819174,0.17282154
3990,13651.0,0.014650941,0.102556586
3500,8705.0,0.022975301,0.24124068
4039,15011.0,0.013323563,0.18652989
5006,18757.0,0.0373194,0.1492776
2577,5385.0,0.018570103,0.16713092
5821,26235.0,0.09910425,0.13722126
4019,10799.0,0.10186129,0.1666821
4777,20356.0,0.004912556,0.20632736
2714,6012.0,1.7298735,0.332668
5298,24071.0,0.016617507,0.14540318
3398,7992.0,0.2127127,0.36286286
4285,13100.0,0.022900764,0.21374047
