Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
Reactome_2022,Pregnenolone Biosynthesis R-HSA-196108,1/12,0.5156027395624289,0.999996057984298,0,0,1.4608337861967238,0.9676836096549304,STARD4,anterior_up
Reactome_2022,Presynaptic Depolarization And Calcium Channel Opening R-HSA-112308,1/12,0.5156027395624289,0.999996057984298,0,0,1.4608337861967238,0.9676836096549304,CACNA2D3,anterior_up
Reactome_2022,Presynaptic Nicotinic Acetylcholine Receptors R-HSA-622323,1/12,0.5156027395624289,0.999996057984298,0,0,1.4608337861967238,0.9676836096549304,CHRNA5,anterior_up
Reactome_2022,Regulation Of Localization Of FOXO Transcription Factors R-HSA-9614399,1/12,0.5156027395624289,0.999996057984298,0,0,1.4608337861967238,0.9676836096549304,FOXO1,anterior_up
Reactome_2022,Scavenging Of Heme From Plasma R-HSA-2168880,1/12,0.5156027395624289,0.999996057984298,0,0,1.4608337861967238,0.9676836096549304,DLC1,anterior_up
Reactome_2022,RHO GTPase Cycle R-HSA-9012999,26/441,0.5164805927534766,0.999996057984298,0,0,1.0066191467440442,0.6650909521853108,DOCK6;PRAG1;ARHGEF26;DOCK8;AMIGO2;KIF14;ARHGEF10L;SLC1A5;RND3;EPSTI1;NCKAP1L;JAG1;ARHGEF15;STARD8;CAV1;ARAP3;VRK2;PTPN13;ARHGAP25;VAV2;VANGL1;DIAPH2;OBSCN;DLC1;TRIP10;DSG2,anterior_up
Reactome_2022,Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,5/81,0.5183859333340674,0.999996057984298,0,0,1.0571415685743923,0.694579294968658,CCNA1;JUN;CDK6;IGFBP7;NFKB1,anterior_up
Reactome_2022,Semaphorin Interactions R-HSA-373755,4/64,0.521239145802641,0.999996057984298,0,0,1.0712328767123287,0.6979578488468019,SEMA5A;SEMA4A;MYH14;SEMA3E,anterior_up
Reactome_2022,G Alpha (Z) Signaling Events R-HSA-418597,3/47,0.5252648236948434,0.999996057984298,0,0,1.0955750835990357,0.7053889947842795,RGS16;RGS20;GNG12,anterior_up
Reactome_2022,PI Metabolism R-HSA-1483255,5/82,0.5294039684682771,0.999996057984298,0,0,1.0433568145650407,0.6635785785661209,INPP4B;PLEKHA2;INPPL1;PIK3C2G;PTPN13,anterior_up
Reactome_2022,Tight Junction Interactions R-HSA-420029,2/30,0.5316535018380385,0.999996057984298,0,0,1.1477411477411477,0.7251007513074065,CLDN10;CLDN1,anterior_up
Reactome_2022,Metabolism Of Vitamins And Cofactors R-HSA-196854,11/186,0.5318408750070012,0.999996057984298,0,0,1.0098831056970592,0.6376512425848884,MTHFD1L;TTPA;GPC3;LPL;NMNAT3;TACR1;GPC4;FOLR2;ACACB;GPC6;LDLR,anterior_up
Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,29/496,0.5328825076575645,0.999996057984298,0,0,0.9975420631307595,0.6279071560619572,PTPRU;GABRB1;LAMA2;LAMC3;FLT4;TGFA;LAMC2;MST1R;PCSK6;THBS2;PTPRZ1;NTF3;NCKAP1L;GABRQ;KL;CAV1;VEGFD;LAMB1;S100B;ESR1;VAV2;BTC;FGF16;CXCL12;KIT;ADAM12;FGF18;FGF10;FGFR1,anterior_up
Reactome_2022,Advanced Glycosylation Endproduct Receptor Signaling R-HSA-879415,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,S100B,anterior_up
Reactome_2022,Diseases Associated With Visual Transduction R-HSA-2474795,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,STRA6,anterior_up
Reactome_2022,Dissolution Of Fibrin Clot R-HSA-75205,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,SERPINB8,anterior_up
Reactome_2022,ERBB2 Activates PTK6 Signaling R-HSA-8847993,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,BTC,anterior_up
Reactome_2022,Erythropoietin Activates RAS R-HSA-9027284,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,EPOR,anterior_up
Reactome_2022,IRF3-mediated Induction Of Type I IFN R-HSA-3270619,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,DTX4,anterior_up
Reactome_2022,Mitotic Telophase/Cytokinesis R-HSA-68884,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,KIF23,anterior_up
Reactome_2022,NF-kB Activation Thru FADD/RIP-1 Pathway Mediated By Caspase-8 And -10 R-HSA-933543,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,MAVS,anterior_up
Reactome_2022,NF-kB Is Activated And Signals Survival R-HSA-209560,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,NFKB1,anterior_up
Reactome_2022,Purine Salvage R-HSA-74217,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,ADA,anterior_up
Reactome_2022,SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways R-HSA-9755779,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,CAV1,anterior_up
Reactome_2022,SHC1 Events In ERBB4 Signaling R-HSA-1250347,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,BTC,anterior_up
Reactome_2022,Activation Of Arylsulfatases R-HSA-1663150,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,ARSJ,anterior_up
Reactome_2022,Trafficking And Processing Of Endosomal TLR R-HSA-1679131,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,TLR7,anterior_up
Reactome_2022,Transcriptional Regulation Of Testis Differentiation R-HSA-9690406,1/13,0.5440053927971165,0.999996057984298,0,0,1.3390264730999146,0.8151941199882903,ZFPM2,anterior_up
Reactome_2022,TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,6/101,0.5460498288432456,0.999996057984298,0,0,1.0146971201588877,0.6139374655230763,JUN;PELI2;TLR7;ALPK1;S100B;NFKB1,anterior_up
Reactome_2022,EGFR Downregulation R-HSA-182971,2/31,0.549548415250686,0.999996057984298,0,0,1.1081049218980257,0.6633763208977693,BTC;TGFA,anterior_up
Reactome_2022,Negative Regulation Of FGFR4 Signaling R-HSA-5654733,2/31,0.549548415250686,0.999996057984298,0,0,1.1081049218980257,0.6633763208977693,FGF16;FGF18,anterior_up
Reactome_2022,RIPK1-mediated Regulated Necrosis R-HSA-5213460,2/31,0.549548415250686,0.999996057984298,0,0,1.1081049218980257,0.6633763208977693,CFLAR;BIRC3,anterior_up
Reactome_2022,Signaling By EGFR R-HSA-177929,3/49,0.5537804015804204,0.999996057984298,0,0,1.0478298062260571,0.6192538543152706,BTC;ADAM12;TGFA,anterior_up
Reactome_2022,MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,6/102,0.5558130823876546,0.999996057984298,0,0,1.004073756432247,0.58971583577128,JUN;PELI2;TLR7;ALPK1;S100B;NFKB1,anterior_up
