gene_identifier,symbol,log2FoldChange,lfcSE,pvalue,padj,baseMean
ENSMUSG00000032560,Dnajc13,-0.1184922839389602,0.04996582518867203,0.017717649532200213,0.049992474484096786,226.5034824692126
ENSMUSG00000027618,Nfs1,-0.13288350841991908,0.05604067685744726,0.017730557655353966,0.05002115120791091,199.4685859682296
ENSMUSG00000001964,Emd,0.2720039468611977,0.11471419634609545,0.017733092021886308,0.05002115120791091,90.06859743227183
ENSMUSG00000025384,Faap100,-0.2738225605854235,0.11549005685677288,0.01774184492254914,0.05003839280879688,67.28532960863328
ENSMUSG00000047371,Zfp768,0.40447846515720987,0.17065046691278504,0.017777696455159517,0.05013204580733227,10.223111004149892
ENSMUSG00000019990,Pde7b,0.3408348392054477,0.14380849424971565,0.0177851722629505,0.05014566498778634,483.4892964151927
ENSMUSG00000019889,Ptprk,-0.2884375169706846,0.12170629382343463,0.01779061513170823,0.05014608905932932,1233.7541964469115
ENSMUSG00000020432,Tcn2,0.9908343931835378,0.4180746407689939,0.01778837358335757,0.05014608905932932,1.093165381656827
ENSMUSG00000074749,Kiz,-0.5943838168397948,0.2508250961949157,0.017801835349308102,0.050170252806274324,60.56238122344858
ENSMUSG00000086392,Mccc1os,-0.4695661739895581,0.198176371433515,0.017815251420143802,0.05020059693854648,6.068067561256342
ENSMUSG00000109382,4930567K12Rik,0.4244669170049805,0.1791569254724331,0.017824369832130784,0.05021882371675265,8.128512599961311
ENSMUSG00000001985,Grik3,-0.4184570125726582,0.17668598417935621,0.017866869034928488,0.05033107896713168,369.3631371803576
ENSMUSG00000024608,Rps14,-0.24055045498849956,0.10157170093642727,0.01787089728169851,0.05033494403807769,5615.6913559913355
ENSMUSG00000045538,Ddx28,0.29209911288972995,0.12334324789359162,0.017875797408847083,0.0503412633225817,24.085836478656333
ENSMUSG00000014177,Tvp23b,0.1875237696609862,0.07920481110361202,0.01790482238600205,0.050415510284508004,156.34057389537654
ENSMUSG00000057455,Rit2,0.27874570182257125,0.11773860063831548,0.017908898920612083,0.05041949703544777,416.7059944168678
ENSMUSG00000031851,Ntpcr,0.2748151826706343,0.11610056596470525,0.017930786495550514,0.050473619145971815,71.63816349631723
ENSMUSG00000087621,1700003G18Rik,-0.542572541883342,0.2292384803266516,0.017940319646547673,0.050492953705937677,2.989279267109018
ENSMUSG00000026491,Ahctf1,-0.13597972707582442,0.0574543141924856,0.01794527866960538,0.05049941057158033,241.91973888690595
ENSMUSG00000025202,Scd3,-0.5678038940698096,0.2399187859027993,0.017949878721051842,0.05050485549575834,8.928946732778563
ENSMUSG00000027134,Lpcat4,0.19658434608593986,0.083072925584923,0.017961690150778097,0.050530586157548234,194.49577832796436
ENSMUSG00000030322,Mbd4,-0.2512174205384125,0.1061697316417015,0.017972372368307236,0.0505381297491352,45.49119101726995
ENSMUSG00000049653,Spatc1,1.2326549863682519,0.520922649021492,0.017967277465512313,0.0505381297491352,0.3562979606345875
ENSMUSG00000029804,Herc3,0.21521886609817165,0.09095472436479697,0.017970773638608578,0.0505381297491352,860.7385315767335
ENSMUSG00000038782,1700028J19Rik,-0.4864251389310661,0.20565377716322225,0.01801730200048022,0.05065695443755196,4.61652996073596
ENSMUSG00000041797,Abca9,-0.5440304566851373,0.23003548423303777,0.018030803954687712,0.05068739577827209,4.098973921711952
ENSMUSG00000031333,Abcb7,-0.17533606627177434,0.07414855965446711,0.018046674058805192,0.05072448433912168,161.65231900205288
ENSMUSG00000097503,3110045C21Rik,-0.32602965948203955,0.13788965203464615,0.018058111947352275,0.0507491059472528,12.250470946760736
ENSMUSG00000025228,Actr1a,-0.09350203023315513,0.039557570211414754,0.018093702587116085,0.05084158719244511,578.9122604029446
ENSMUSG00000025930,Msc,-0.526165511329974,0.22269077865086773,0.018139270243956535,0.050962071330315245,14.14457756123953
ENSMUSG00000030042,Pole4,0.2436424932676418,0.10312310089423973,0.01814541450929104,0.050971776601106605,288.5420906472643
ENSMUSG00000032376,Usp3,-0.376936497203627,0.15957868306394707,0.018173063728987394,0.051041879007605026,140.36717886014145
ENSMUSG00000038046,Mrm3,0.2296533690600323,0.09722874428921613,0.01817710864233486,0.05104567409191547,39.2099241594147
ENSMUSG00000024798,Htr7,-1.0333110376039676,0.4376694859066693,0.018228719863956622,0.05118302584412179,7.672904032186199
ENSMUSG00000021686,Ap3b1,0.14123195590918247,0.05982986767831558,0.018247396306895303,0.051220287367155386,261.731370078832
ENSMUSG00000085301,Gm12132,0.7783423845084154,0.32972139831513525,0.018245092363323667,0.051220287367155386,2.6259356797437317
ENSMUSG00000037984,Neurod6,-0.6963052185608927,0.29505641917305897,0.018279598881983508,0.051286351605619056,297.0706762221438
ENSMUSG00000000579,Dynlt1c,-0.6067332659679394,0.2570946624680181,0.018276877614437966,0.051286351605619056,6.40316142757044
ENSMUSG00000033368,Trim69,-0.8711283028611304,0.36913867824012264,0.01828013739848097,0.051286351605619056,0.8354761627126788
ENSMUSG00000001783,Rtcb,-0.16309260788707353,0.06911109222515292,0.018281757524852598,0.051286351605619056,268.1704906987103
ENSMUSG00000066113,Adamtsl1,-1.2149009584942951,0.5149060867322484,0.018301492183644085,0.051334114399060896,218.43451496522496
ENSMUSG00000026159,Agfg1,-0.13094680341962137,0.05551562324847171,0.01833720303035731,0.05142666825888279,405.65231492687116
ENSMUSG00000048578,Mlec,-0.12050669614943486,0.0511149365065317,0.018395320949751385,0.05158202604288085,291.7892419251165
ENSMUSG00000015937,H2afy,-0.24314167681575274,0.10317502948184153,0.018443388811119565,0.051709160818274265,398.89943315585367
ENSMUSG00000006169,Clint1,-0.11913308188111967,0.05055632093114106,0.01845090564076381,0.051722583120188494,318.75422006893314
ENSMUSG00000025762,Larp1b,-0.18005681848831556,0.07642917149603927,0.018479626775430136,0.051795433721993946,164.12447474107563
ENSMUSG00000024726,Carnmt1,0.11806930768229976,0.05012663394816078,0.01850174911089914,0.051849770134803116,207.0030839570358
ENSMUSG00000090050,Gm16339,0.4268461810669926,0.18122449247732741,0.01850552140203719,0.051852673453882114,13.418881109908096
ENSMUSG00000014980,Tsen15,0.2690660552953601,0.11425337436614201,0.01852298550207818,0.051893934840978935,89.4242152065716
ENSMUSG00000115082,Gm49189,0.8921072188036218,0.3789388804683486,0.018561394143120642,0.051986821268999624,4.0201564722722765
ENSMUSG00000024327,Slc39a7,0.3024652471651656,0.12847790803081616,0.018561627055728308,0.051986821268999624,197.1381150345642
ENSMUSG00000020135,Apc2,-0.15050617404792194,0.06394308874909437,0.018585005018103975,0.052044605451909316,234.5672842791276
ENSMUSG00000031766,Slc12a3,-1.192581342072524,0.5068153350741114,0.018618201762476597,0.05212986456840005,0.8194119121188493
ENSMUSG00000030835,Nomo1,-0.19615268153494866,0.08337443396500335,0.01863907616891309,0.052180601772921116,233.9792815629353
ENSMUSG00000026430,Rassf5,-0.18850718929802987,0.08016679209071316,0.018701038483851275,0.05234633371772255,66.84291380751938
ENSMUSG00000031024,St5,0.28014312364841865,0.1191510503575544,0.018715009775071866,0.052377704214682,43.50312817419503
ENSMUSG00000014329,Bicc1,-0.4336327018334035,0.1844566411582917,0.018729816919587926,0.05241140440434011,20.496738733008623
ENSMUSG00000089940,Gm4117,0.3402181833890201,0.14472522409592462,0.0187337514914697,0.05241386058485211,11.561578935162178
ENSMUSG00000105218,Gm38413,-0.5406605815522105,0.2299961141763657,0.018736226469751354,0.05241386058485211,45.55621421942287
ENSMUSG00000070327,Rnf213,0.7769148376941175,0.33053546137809586,0.01874954347335326,0.05244337251956373,3.3722482299507535
ENSMUSG00000086931,Gm14532,-0.395968151560712,0.16848893855603245,0.018767680575775623,0.05248635580149765,16.540117554156325
ENSMUSG00000086770,Gm15351,-0.45995218333183147,0.19573274835076232,0.018778507374551445,0.052508885162719475,5.089244402734639
ENSMUSG00000062031,Pgghg,0.821061757903774,0.34944830025557533,0.018793879498135702,0.05254411574058299,0.9250845542523862
ENSMUSG00000079658,Eloc,0.1608567765011391,0.06846701791545326,0.018803425307649623,0.052563049060327535,911.9390632580138
ENSMUSG00000017774,Myo1c,0.2496261092465129,0.10627674234874938,0.018832451249464394,0.05263642347748529,32.514369078908445
